ID,Question,Option 1,Option 2,Option 3,Option 4,Subjects,Answers
1,Example of viruses having a polyhedral capsid that is with 252 capsomeres is :,Bacteriophage,Influenza virus,Tobacco Mosaic Virus,Adenovirus,Biology,A
2,"The complete, mature & infectious particle of virus is known as:NOTE: THIS QUESTION WAS DELETED",Genome,Capsomere,Envelope,Pirion,Biology,Deleted
3,The causative organisms of measles is,Picovirus,Papuvirus,Paramyxovirus,Poxivirus,Biology,D
4,"In the life cycle of bacteriophage, the lysozymes are required in which of the following steps of infection process",Replication,Penetration,Genome injection,Adsorption,Biology,B
5,_____ is transmitted through infected blood and hypodermic syringes,Morbilli virus ( Measles ),HIV,Vibrio cholerae ( Cholera ),Influenza virus,Biology,A
6,In Calvin cycle CO2 react with RuBP to produce _____.,"1,3 bisphosphglycerate",G3P,6-carbon unstable intermediate,3-PGA,Biology,C
7,Which option is correct about a chlorophyll molecule,Chemical formula C55 H70 O6 N4 Mg,Porphyrin ring with nitrogen in centre,Aldehyde group on second pyrroll ring,Methyl group on second pyrroll ring,Biology,A
8,In the journey of electrons from photosystem II to photosystem I plastocyanine is reduced,Primary electron acceptor of PSI,Cytrome complex,P700,Plastoquinone,Biology,B
9,Enzyme NADP reductase is responsible for :,Reducing P700,Reducing Ferredoxin,Oxidizing NADP+,Reducing NADP+,Biology,A
10,The PS II during light reactions receives electrons from spilting,Plastocyanine,Plastoquinone,Water,Ferredoxin,Biology,A
11,Mono-saccharides have general formula represented by,C ( H20 ) n,Cn ( H20 ) n,Cn ( H20 ) n,C2 ( H2O ) n,Biology,B
12,What is the percentage of H2O in bone cells,99%,60%,20%,70%,Biology,B
13,"When glycerol reacts with fatty acid, which type of chemical bond will form",Ionic Bond,Ether Linkage,Hydrogen Bond,Ester Bond,Biology,A
14,Polysaccharides in plants are synthesized by the process of,Oxidation,Condensation,Glycolysis,Hydrolysis,Biology,C
15,Which of the following process is involved in breakdown of protein into Amino acids,Glycolysis,Hydrolysis,Condensation,Fixation,Biology,B
16,The hydrophilic end of phospholipid molecule is polar because of the presence of,Glycerol,Fatly Acid,Amine group,Phosphate group,Biology,D
17,Which monosaccharide will from a gluco pyranose ring in solution,Fructose,Ribose,Glucose,Deoxyribose,Biology,B
18,Chloroplast are membrane bound bodies containingNOTE: THIS QUESTION WAS DELETED,Enzymes,Cristae,Cisternae,Pigment,Biology,Deleted
19,Which of the following is the function of Golgi Complex,Autolysis,Intracellular digestion,Autophagy,Processing of cell secretions,Biology,D
20,The nucleus takes dyes due to the presence Of,Metal ions,Thylakoids,Chromatin,Lipid,Biology,A
21,The organelles only found at seeding stage in oil seed plant are,Vacuoles,Peroxisomes,Microbodies,Glyoxiosomes,Biology,B
22,Posterior lobe of pituitary produce,Adreno Corticufrotric Hormone (ACH),Thyroid Stimulating Hormone (TSH),Follicle Stimulating Hormone (FSH),Antidiuretic Hormone ( ADH ),Biology,A
23,In human myelinated fibers nerve impulse travels at _____ meters per second,130-150,100-120,190-210,160-180,Biology,A
24,Nisslâ€™s granules are groups of,Ribosomes,Lysosomes,Mesosomes,Chromosome,Biology,C
25,"During non-conducting state, the neuron membrane is permeable to efflux of",Cl-,Na+,Ca+,K+,Biology,A
26,Which of the following neurotransmitters is lying outside the central nervous system,Acetylcholine,Dopamine,Endorphins,Gamma â€“ aminobutyric acid,Biology,A
27,Depolarization during conduction of nerve impulse is due to,Outward movement of K+,Inward movement of Na+,Inward movement of K+,Outward movement of Na+,Biology,A
28,Which of the following is NOT a feature of Autonomic Nervous System,Regulate response of skeletal muscles,Regulate response of visceral organs,Regulate response of smooth muscles,Regulate response of glands,Biology,B
29,Taste receptor is an example of,Chemo receptors,Mechano receptors,Nociceptor,Photo receptors,Biology,D
30,Which of the following belongs to chordates,Earthworm,Star Fish,Spider,Trout Fish,Biology,C
31,Which of the following statement is incorrect regarding rate of enzymatic action,Increase in enzyme concentration reduce the rate,All enzymes work at their maximum rate at optimum pH,All enzymes work at their maximum rate at optimum temperature,Increase in enzyme concentration increase the rate,Biology,B
32,Induced fit model of enzyme activity suggests that an enzyme,Can catalyze related reaction,Cannot modify its active sites,Usually belongs to non-regulatory enzyme,Can bind to a single substrate,Biology,C
33,Chromosomal abnormality in Turner syndrome Is represented by,XXX,XXY,XYY,XO,Biology,C
34,The change In frequency of alleles at a locus that occurs by chance Is known as:,Mutation,Speciation,Non Random mating,Genetic Drift,Biology,B
35,Identify the correct pair of vestigial organs:,Ear Muscles & Vermiform appendix,Vermiform appendix & Heart,Heart & Liver,Ear Muscles & Liver,Biology,A
36,Which of the following increases variation within a gene pool,Random fusion of gametes,Chromosome inversion,Gene mutation,Crossing over,Biology,C
37,Which of the following statements about natural selection is not true,It is regional in nature,It affects variations that are heritable,It can improve the adaptation of species,It is selected by a breeder,Biology,B
38,The formula calculating the frequency of genotypes and alleles in a population gene pool is known as:,Lamarck Equation,Darwin Equation,James Hutton Equation,Hardy-Weinberg Equation,Biology,A
39,The idea of inheritance of acquired characteristics was presented by:,Charles Darwin,Jean Baptist Lamarck,Alfred Wallace,Thomas Malthus,Biology,A
40,"According to endosymbiosis theory, flagella may have derived by the ingestion of prokaryotes similar to:",Amoeboid prokaryote,Aerobic bacterium,Spirillum,Spirochete,Biology,C
41,Insulin convert glucose into,Cortisone,Vitamins,Lipids,Minerals,Biology,C
42,About 70% of the carbon dioxide is carried in blood as:,Carbonate,Carbonic anhydrase,Bicarbonate,Thiocarbonate,Biology,B
43,Range of normal total lung capacity in humans is:,10-11 liter,5-6 liter,12-13 liter,8-9 liter,Biology,A
44,Respiration in Pseudomonas bacteria is,Microaerophilic,Aerobic,Facultative,Anaerobic,Biology,A
45,Autotrophic mode of nutrition in organism depends upon,Photosynthesis mode,Saprotrophic mode,Parasitic mode,Obligate mode,Biology,C
46,Prokaryotic cells lack,Storage bodies,Membrane bound organelles,Ribosomes,Mesosomes,Biology,D
47,Bacterial genome becomes diploid:,During binary fission,After fertilization of gametes,After binary fission,Before spore formation,Biology,C
48,One of the following Is CORRECT regarding flagella:,They are Immotile,Originates from basal bodies,Made up of macrofilaments,Contains centriole,Biology,C
