ID,Question,Option 1,Option 2,Option 3,Option 4,Subject,Answers
1,Which of the following virus contains single stranded DNA,Parvo virus,Pox virus,Herpes virus,Adeno virus,Biology,A
2,How many tail fibrils are attached to the end plate of a bacteriophage?,2,4,6,8,Biology,B
3,"The enzymes integrase, protease and reverse transcriptase are found in which virus",Hepatitis A virus,Human immunodeficiency virus,Herpes virus,Influenza virus,Biology,C
4,What is the end product of glucose in yeast in anaerobic respiration?,Ethanol and oxygen,Ethanol and co2,Lactic acid and co2,Ethanol and water,Biology,D
5,Each carrier in transport chain is first _____and then ______ .,"Broken-down, Regenerate","Generated, Broken-down","Reduced, Oxidized","Oxidized, Reduced",Biology,A
6,Electron transport chain explains;,Mechanism of ATP synthesis,Photophosphorylation,Photolysis,Z-scheme,Biology,B
7,What is color of Chlorophyll-B molecule,Yellowish green,Blueish green,Reddish green,Dark green,Biology,C
8,Upon initial hydrolysis starch yields;,Sucrose,Mannose,Glucose,Maltose,Biology,D
9,Human bone cells contain______% of water?,20,90,40,85,Biology,A
10,What does the term bacteriophage refer to,A Virus that infect virus,A virus which behaves as bacteria,A Virus that infects bacteria,Combination of bacterium & virion,Biology,B
11,Butyric acid is a_______ carbon fatty acid,2,6,8,4,Biology,C
12,Which of the following is a conjugated molecule?,Glycoproteins,Protein,Vitamins,Lipid,Biology,D
13,Hydrolysis process is a reverse of_____ process,Condensation,Photolysis,Convection,Deduction,Biology,A
14,Proteins are the main_____ of the cell,Functional components,Structural components,Physiological components,Biological components,Biology,B
15,Cell wall may be absent in which of the following?,Plant & Algae,Algae & fungi,Bacteria & Archaea,Fungi & Archaea,Biology,C
16,Structure formed by invagination of plasma membrane and involved in cell division and DNA replication of prokaryotic cell:,Mesosomes,Phragmoplasts,Golgi bodies,Lysosomes,Biology,D
17,Which of following are single membranous organelles ?,"Cytosol, mitochondria and ribosomes",Mitochondria and ribosomes,"Golgi bodies, Lysosomes and ER","Golgi bodies, Lysosomes and Mitochondria",Biology,A
18,Movement of molecules against the concentration gradient is,Filtration,Facilitated transport,Active transport,Passive transport,Biology,B
19,The digestive vacuoles and auto phagosomes are also known as,Phagocytosis,Secondary lysosomes,Peroxisomes,Primary lysosomes,Biology,C
20,"Unique three-dimensional shape of the fully folded polypeptide, constitutes",Tertiary structure of protein,Quaternary structure of protein,secondary structure of protein,Primary structure of protein,Biology,D
21,Which one is common in both prokaryotic and eukaryotic cells,Nuclear envelop,Cytoplasmic streaming movement,Ribosomes,Binary fission,Biology,A
22,"There is no clear difference between dendrites and axons in sensory neurons, except",Thickness,None of the above,Length,Terminal portions,Biology,B
23,The neurotransmitter active outside the CNS (Central Nervous System) is:,Glutamate,Acetylcholine,Serotonin,Dopamine,Biology,C
24,"A hormone that plays a major role in social bonding, childbirth, milk ejection and sexual reproduction is",Prolactin,Secretin,Estrogen,Oxytocin,Biology,D
25,Hormone produced by placenta is:,LH,Testosterone,FSH,Progesterone,Biology,A
26,The middle layer of meninges is,Dura mater,Pia mater,Cranium,Arachnoid mater,Biology,B
27,The part of brain which guides smooth and accurate motions and maintain body position is,Cerebellum,Pons,Cerebrum,Medulla,Biology,C
28,Water vascular system or ambulacral system is a unique and complex system specially present in,Sponges,Arthropods,Echinoderms,Fishes,Biology,D
29,Round worms belongs to which phylum,Nematoda,Coelenterata,Platyhelminthes,Annelida,Biology,A
30,Cell wall of bacteria is made up of,Hemicellulose,Cellulose,Chitin,Murein,Biology,B
31,Tissue are not found in the following animal?,Sponges,Round worms,Flat worms,Cnidarians,Biology,C
32,Enzymes lower the activation energy by stabilizing the transition state of a metabolic reaction due to,Distorting the molecules in the allosteric site,Changing conditions within the active site,Changing condition with within the protein framework,Rearranging the fatty acid in active site,Biology,D
33,Competitive inhibitor competes with,Coenzyme,Enzymes,Substrate,Product,Biology,A
34,Non-competitive inhibitor molecules have,A similar structure to the normal substrate molecule,A quite different structure from the substrate molecule,A different conformation but fit into the active site,A similar conformation but does not fit into the active site,Biology,B
35,Zinc ion attached at the active site of the enzyme carboxypeptidase. The zinc ion functions are,An activator,A coenzyme molecule,An inhibitor molecule,Controller or Allosteric site,Biology,C
36,What is the best physiological pH for optimum functioning for most of the cellular enzyme of human?,6-8 pH,3-5 pH,8-10 pH,2-3 pH,Biology,D
37,Adaptations that an organism acquires by its own actions during its life span without modifying its genome are,Can be made heritable through some modification,Heritable,Sometimes heritable and other times non-heritable,Non-heritable,Biology,A
38,"For evolutionary process to occur, which of the following is NOT a geographical barrier?",Atmosphere,River,Ocean,Mountains,Biology,B
39,According to the Biogenetic law of Ernst Haeckel,There is use and disuse of organs,Phylogeny recapitulates ontogeny,There is survival of the fittest,Ontogeny recapitulates phylogeny,Biology,C
40,Silver fish is a / an,Jawless fish,Insect,Mollusca,Cartilaginous fish,Biology,D
41,Digested food from intestine is carried to the liver by,Hepatic Vein,Hepatic Artery,Hepatic Portal artery,Hepatic Portal vein,Biology,A
42,_____ proteins are produced by WBCS in response to _____ and provide immunity?,"Antibiotics, antigen","Globulin, histamine","Antibodies, RBC","Antibodies, antigen",Biology,B
43,The lymphatic vessels of the body empty the lymph into blood stream at?,Subclavian vein,Jugular vein,Bile duct,Abdominal vein,Biology,C
44,Flow of blood in the adjusted by?,Pre-capillary sphincters,Meta-arteriole,Heart directly,Valves,Biology,D
45,The pressure exerted by a solution separated by a semipermeable membrane from pure water is ____?,Soil potential,Osmotic pressure,Solute potential,Solvent potential,Biology,A
46,Which of the following is NOT a consequence of anaerobic respiration in humans muscles cells ?,High consumption of energy,Tiredness,Cramps,Pain,Biology,B
47,The respiratory surface exhibit following characteristic?,It must be non-vascularized,It must be thick for low diffusion,It must be permeable,It should have low ventilation mechanism,Biology,C
48,Which of the following is a prokaryote?,Amoeba,E.coli,Fungi,Protista,Biology,D
49,Number of layers present in Gram-negative bacterial cell wall,Two,One,Four,Three,Biology,A
50,The animal species on Galapagos resembles species living on the,Northern Europe,Great Britain,North American mainland,South American mainland,Biology,B
51,Which of the following statement is correct ?,Pneumonia is a lung disease caused by Gram Negative bacteria,Tuberculosis and pneumonia are caused by Gram Positive bacteria,Tuberculosis is a lung disease caused by Gram Negative bacteria,Tuberculosis and pneumonia are caused by Gram Negative bacteria,Biology,C
52,Nitrifying bacteria are the example of,Heterotrophic bacteria,Parasitic bacteria,Saprotrophic bacteria,Chemosynthetic bacteria,Biology,D
53,Each human testis is divided into,150-200 lobules,200-300 lobules,250-300 lobules,50-100 lobules,Biology,A
